AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202104,0150VDE26950,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0010VDE31400,1,2448285,13.47,86.61,86382,18,20210527133343
202104,0500VDE16509,1,507770,2.89,103.64,83992,1496,20210527133343
202104,0251VDE02700,1,415748,2.64,97.89,86373,27,20210527133343
202104,0010VDE00500,1,875891,1.36,94.10,86124,276,20210527133343
202104,1000VDE04700,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0251VDE16240,1,731858,3.51,96.03,86374,26,20210527133343
202104,1300VDS00250,1,897337,2.16,104.44,66249,0,20210527133343
202104,1510VDE05400,1,355008,1.97,103.82,86363,37,20210527133343
202104,0552VDE01790,1,654115,3.74,99.81,72826,0,20210527133343
202104,0010VDS29620,1,221950,5.82,53.15,84008,490,20210527133343
202104,1000VDE03628,1,2103262,7.91,76.29,84459,0,20210527133343
202104,0550VDS16600,1,448066,2.88,101.28,83646,670,20210527133343
202104,0352VDS09251,1,-1,-1.00,-1.00,47400,33055,20210527133343
202104,0252VDS18540,1,774339,4.16,103.91,81358,0,20210527133343
202104,0101VDS05800,1,203551,1.82,105.60,85173,1200,20210527133343
202104,0500VDE08500,1,578402,3.55,101.51,86383,17,20210527133343
202104,0140VDS01100,1,104668,0.97,107.58,85393,1007,20210527133343
202104,0251VDE10900,1,488909,4.45,103.28,86180,220,20210527133343
202104,0550VDS19000,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0450VDS15500,1,737720,4.07,102.38,86397,3,20210527133343
202104,0010VDE13200,1,597310,3.19,101.63,86384,16,20210527133343
202104,0500VDS03400,1,2291731,0.39,90.91,85342,1057,20210527133343
202104,0450VDE16301,1,773301,4.76,91.19,86373,27,20210527133343
202104,0010VDS02200,1,1094162,1.88,101.56,86140,260,20210527133343
202104,0352VDS07800,1,683493,4.03,98.86,76904,7420,20210527133343
202104,0351VDE17900,1,766261,4.65,96.65,85618,782,20210527133343
202104,4510VDS00800,1,609956,4.57,90.39,86375,25,20210527133343
202104,0500VDS00800,1,1179986,13.88,85.78,85999,75,20210527133343
202104,0352VDS07600,1,536915,4.69,112.45,85272,1128,20210527133343
202104,1510VDE03400,1,343708,1.92,107.54,86367,33,20210527133343
202104,0010VDE30400,1,2921597,17.81,74.95,86371,29,20210527133343
202104,0010VDS26000,1,1406884,7.96,88.58,86252,39,20210527133343
202104,0500VDE05600,1,1858626,5.65,101.40,84482,1846,20210527133343
202104,4510VDE00700,1,587393,4.31,94.26,86378,22,20210527133343
202104,0550VDE03800,1,651885,2.81,103.91,86039,361,20210527133343
202104,0270VDE03000,1,-1,-1.00,-1.00,75787,10508,20210527133343
202104,0352VDE01200,1,1061512,7.63,94.98,86359,41,20210527133343
202104,0010VDE27150,1,2517278,5.70,96.20,86382,18,20210527133343
202104,0251VDS00700,1,473137,2.51,94.33,86377,23,20210527133343
202104,0500VDE12500,1,446438,7.23,86.53,85980,420,20210527133343
202104,0150VDE22800,1,1000227,3.71,108.80,83321,3028,20210527133343
202104,0351VDS15700,1,393037,1.79,108.39,85474,926,20210527133343
202104,2510VDE01500,1,667892,3.54,97.13,85535,865,20210527133343
202104,2510VDE03100,1,328667,8.40,97.38,84143,802,20210527133343
202104,0650VDS03400,1,282324,1.84,107.26,85456,944,20210527133343
202104,0010VDS30120,1,594939,7.96,73.98,86378,22,20210527133343
202104,1000VDE03659,1,2040916,5.33,95.83,84450,0,20210527133343
202104,0450VDE18200,1,766866,5.21,105.41,86383,17,20210527133343
202104,0010VDE17900,1,505995,2.05,93.40,86286,114,20210527133343
202104,0252VDS18860,1,993855,4.95,105.64,84949,0,20210527133343
202104,0100VDS11800,1,1343930,5.22,95.74,86351,49,20210527133343
202104,1710VDE00040,1,1525296,8.89,77.90,86323,0,20210527133343
202104,0270VDE02400,1,0,0.00,0.00,69584,16816,20210527133343
202104,2510VDS04100,1,882901,5.98,85.49,86377,23,20210527133343
202104,0010VDS27150,1,2566081,6.31,95.77,86382,18,20210527133343
202104,0450VDE12400,1,782289,5.10,99.22,86383,17,20210527133343
202104,0010VDS03500,1,891168,1.70,97.20,86028,372,20210527133343
202104,0450VDE01300,1,735480,5.85,91.38,86384,16,20210527133343
202104,0550VDS13600,1,275219,2.04,108.02,86380,20,20210527133343
202104,0100VDE04300,1,518488,4.27,97.04,86124,276,20210527133343
202104,1000VDE03655,1,2099781,5.17,101.08,84413,0,20210527133343
202104,0550VDS00750,1,502316,2.88,99.10,86124,276,20210527133343
202104,0450VDS03400,1,633318,4.06,100.03,86396,4,20210527133343
202104,0150VDE19600,1,488970,2.41,109.72,86214,186,20210527133343
202104,0150VDS25700,1,1653586,7.32,90.94,86218,43,20210527133343
202104,0500VDS15203,1,370578,3.87,88.54,63982,303,20210527133343
202104,0010VDS20900,1,957414,5.46,95.07,86322,78,20210527133343
202104,0251VDE17400,1,1203893,3.45,98.15,86367,33,20210527133343
202104,0150VDE27300,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0100VDS13500,1,919606,3.81,94.80,86193,207,20210527133343
202104,0252VDS18330,1,744147,4.06,99.05,80482,0,20210527133343
202104,0400VDE02300,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0010VDS22710,1,-1,-1.00,-1.00,72951,9,20210527133343
202104,0450VDE02000,1,685374,5.88,85.05,86242,158,20210527133343
202104,0351VDS04100,1,127677,1.29,108.59,85176,1155,20210527133343
202104,0552VDS01420,1,687217,4.20,92.56,75167,0,20210527133343
202104,0170VDS00023,1,454124,9.55,101.01,33240,0,20210527133343
202104,2510VDS04000,1,826638,5.23,87.67,86386,14,20210527133343
202104,0252VDS18640,1,816265,4.23,104.03,81619,0,20210527133343
202104,0150VDS26950,1,-1,-1.00,-1.00,11524,12260,20210527133343
202104,0370VDE00900,1,747726,4.03,102.01,84684,591,20210527133343
202104,0301VDS08300,1,705755,3.55,101.58,85803,597,20210527133343
202104,4510VDE01570,1,541369,5.31,80.25,86392,8,20210527133343
202104,0500VDS08600,1,515606,3.22,104.98,86388,12,20210527133343
202104,1040VDS00900,1,1339975,4.48,95.43,86383,17,20210527133343
202104,0270VDS02200,1,355995,2.24,102.31,86316,73,20210527133343
202104,1020VDS00200,1,525806,2.88,93.02,86290,110,20210527133343
202104,0252VDE18680,1,680130,3.81,104.52,80808,0,20210527133343
202104,0252VDS18290,1,743431,4.04,97.51,80378,0,20210527133343
202104,0101VDS00600,1,168921,1.63,92.95,83300,3100,20210527133343
202104,0100VDE06470,1,-1,-1.00,-1.00,21982,27882,20210527133343
202104,2510VDE05400,1,0,0.00,0.00,86378,22,20210527133343
202104,0450VDS09700,1,376457,2.90,89.05,86379,21,20210527133343
202104,0100VDE11600,1,1338230,5.15,93.04,86361,39,20210527133343
202104,0252VDS18800,1,1055433,5.71,99.42,84935,0,20210527133343
202104,0101VDS00120,1,86,1.19,100.00,39708,39750,20210527133343
202104,0500VDE00500,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0252VDE18450,1,771698,4.39,98.97,81168,0,20210527133343
202104,0100VDE05300,1,630277,4.95,98.51,86387,13,20210527133343
202104,0552VDS01830,1,497769,3.15,95.71,71157,0,20210527133343
202104,0500VDE13100,1,408645,2.84,85.82,86398,2,20210527133343
202104,0500VDE00300,1,2136440,18.79,72.02,86375,25,20210527133343
202104,1000VDS05600,1,-1,-1.00,-1.00,0,0,20210527133343
202104,0252VDE18260,1,705514,3.79,106.04,80516,0,20210527133343
202104,0100VDS06400,1,691881,3.78,98.57,86048,352,20210527133343
202104,0251VDE06200,1,420643,2.46,101.76,85686,714,20210527133343
202104,0450VDE18600,1,758999,4.63,105.91,85470,907,20210527133343
202104,0500VDE05250,1,-1,-1.00,-1.00,21699,32883,20210527133343
202104,0650VDE04900,1,293610,0.83,111.56,85582,785,20210527133343
202104,0450VDE09707,1,462682,2.98,96.62,86372,28,20210527133343
202104,0010VDE24900,1,1477196,14.63,92.79,86387,13,20210527133343
202104,0450VDE08600,1,119004,3.87,94.74,20906,1177,20210527133343
202104,0150VDS11000,1,449211,1.76,102.65,86371,29,20210527133343
202104,1510VDE02000,1,274658,1.77,105.74,83932,2468,20210527133343
202104,0251VDE11400,1,546501,3.26,107.65,86207,39,20210527133343
202104,0252VDS18220,1,706334,3.84,104.42,79565,0,20210527133343
202104,0200VDS01900,1,459233,2.79,106.38,85603,797,20210527133343
202104,0200VDS03300,1,477962,1.73,107.39,86387,13,20210527133343
202104,0100VDE07200,1,949694,3.39,99.37,86163,237,20210527133343
202104,0550VDE11400,1,205684,1.87,103.12,86254,146,20210527133343
202104,0270VDE06300,1,0,0.00,0.00,61150,25142,20210527133343
202104,0150VDE10700,1,411892,3.41,111.17,86384,16,20210527133343
202104,0010VDS15500,1,493073,2.10,104.84,86212,188,20210527133343
