"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202202","0010VDE04255","1","647871","3.68","97.55","80615","25","20220301083036"
"202202","0010VDE04260","1","685072","3.41","97.57","80623","17","20220301083036"
"202202","0010VDE04265","1","685455","3.46","96.16","80623","17","20220301083036"
"202202","0010VDE04270","1","599842","3.08","99.68","80625","15","20220301083036"
"202202","0010VDE04275","1","684910","3.38","98.46","80616","24","20220301083036"
"202202","0010VDE04280","1","685012","3.35","101.80","80393","247","20220301083036"
"202202","0010VDE04285","1","718702","3.43","101.19","80383","257","20220301083036"
"202202","0010VDE04290","1","717203","3.52","96.95","80623","17","20220301083036"
"202202","0010VDE04295","1","716743","3.57","93.16","80627","13","20220301083036"
"202202","0010VDE04300","1","719540","3.52","95.58","80626","14","20220301083036"
"202202","0010VDE04305","1","717578","3.35","102.35","80625","15","20220301083036"
"202202","0010VDE04310","1","717743","3.39","101.89","80625","15","20220301083036"
"202202","0010VDE04315","1","717928","3.50","99.54","80626","14","20220301083036"
"202202","0010VDE04320","1","717523","3.33","102.45","80627","13","20220301083036"
"202202","0010VDE04325","1","718193","3.41","101.02","80626","14","20220301083036"
"202202","0010VDE04330","1","718312","3.51","103.74","80620","20","20220301083036"
"202202","0010VDE04335","1","719724","3.22","89.72","80368","272","20220301083036"
"202202","0010VDE04340","1","370053","2.07","103.34","80261","379","20220301083036"
"202202","0010VDE04345","1","369272","2.04","105.74","80611","29","20220301083036"
"202202","0010VDE04350","1","369943","2.10","102.47","80616","24","20220301083036"
"202202","0010VDE04355","1","370095","2.06","104.45","80301","337","20220301083036"
"202202","0010VDE04400","1","479357","2.63","92.72","80313","327","20220301083036"
"202202","0010VDE04500","1","510371","2.68","98.94","80621","19","20220301083036"
"202202","0010VDE04600","1","511235","2.65","102.42","80619","21","20220301083036"
"202202","0010VDE04700","1","584446","2.64","101.62","78800","1598","20220301083036"
"202202","0010VDE04800","1","510705","2.66","100.13","80617","23","20220301083036"
"202202","0010VDE04900","1","583179","2.61","102.27","78688","1682","20220301083036"
"202202","0010VDE05000","1","510575","2.59","103.73","80623","17","20220301083036"
"202202","0010VDE05100","1","511040","2.62","103.92","80593","47","20220301083036"
"202202","0010VDE05200","1","510718","2.69","101.69","80626","14","20220301083036"
"202202","0010VDE05300","1","510878","2.65","101.92","80623","17","20220301083036"
"202202","0010VDE05400","1","509869","2.76","94.61","80624","16","20220301083036"
"202202","0010VDE05500","1","506885","4.74","99.29","80620","20","20220301083036"
"202202","0010VDE05600","1","510523","2.72","99.22","80623","17","20220301083036"
"202202","0010VDE05700","1","510925","2.60","104.37","80623","17","20220301083036"
"202202","0010VDE05800","1","510524","2.72","99.78","80623","17","20220301083036"
"202202","0010VDE05900","1","458851","2.41","103.05","80603","37","20220301083036"
"202202","0010VDE06000","1","511090","2.75","98.74","80288","351","20220301083036"
"202202","0010VDE06100","1","881360","3.41","87.20","80378","261","20220301083036"
"202202","0010VDE06200","1","877220","3.29","92.17","80623","17","20220301083036"
"202202","0010VDE06300","1","876884","3.38","89.32","80622","18","20220301083036"
"202202","0010VDE06400","1","875827","3.32","92.12","80622","18","20220301083036"
"202202","0010VDE06500","1","876780","3.49","86.15","80607","33","20220301083036"
"202202","0010VDE06600","1","920365","3.42","90.34","80600","40","20220301083036"
"202202","0010VDE06700","1","876912","3.32","92.13","80620","20","20220301083036"
"202202","0010VDE06800","1","877431","3.33","91.34","80613","27","20220301083036"
"202202","0010VDE06900","1","654781","2.75","97.96","80345","295","20220301083036"
"202202","0010VDE07000","1","654129","2.60","98.35","80393","247","20220301083036"
"202202","0010VDE07100","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE07200","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE07300","1","1545059","5.55","90.39","80513","127","20220301083036"
"202202","0010VDE07400","1","1335866","4.60","102.76","80445","195","20220301083036"
