"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202201","0010VDE00100","1","1098605","1.84","83.53","83132","5937","20220201083036"
"202201","0010VDE00200","1","1094673","1.84","95.29","83150","5908","20220201083036"
"202201","0010VDE00300","1","1065002","1.82","88.98","83160","5906","20220201083036"
"202201","0010VDE00400","1","1063107","1.46","84.78","83151","5918","20220201083036"
"202201","0010VDE00500","1","834680","1.34","95.95","77946","8270","20220201083036"
"202201","0010VDE00600","1","-1","-1.00","-1.00","0","0","20220201083036"
"202201","0010VDE00700","1","1052218","1.76","96.95","80979","6552","20220201083036"
"202201","0010VDE00800","1","1036776","3.63","96.56","83946","5123","20220201083036"
"202201","0010VDE00900","1","1067746","1.78","99.78","83360","5709","20220201083036"
"202201","0010VDE01000","1","1066523","1.82","99.61","83374","5695","20220201083036"
"202201","0010VDE01100","1","898702","1.53","95.95","83233","5323","20220201083036"
"202201","0010VDE01200","1","540008","1.22","90.10","83122","5946","20220201083036"
"202201","0010VDE01300","1","538797","1.21","91.37","83139","5928","20220201083036"
"202201","0010VDE01500","1","1426963","2.13","94.64","83212","5857","20220201083036"
"202201","0010VDE01600","1","1428823","2.70","97.70","83135","5934","20220201083036"
"202201","0010VDE01700","1","1450648","2.25","94.62","79186","8198","20220201083036"
"202201","0010VDE01800","1","1398587","1.81","90.82","83047","5955","20220201083036"
"202201","0010VDE01900","1","754292","1.90","96.32","53556","5007","20220201083036"
"202201","0010VDE02000","1","-1","-1.00","-1.00","0","0","20220201083036"
"202201","0010VDE02100","1","714577","1.90","93.06","49934","7099","20220201083036"
"202201","0010VDE02200","1","1149237","1.93","92.99","83069","5936","20220201083036"
"202201","0010VDE02300","1","1138156","1.92","88.81","83241","5707","20220201083036"
"202201","0010VDE02400","1","1154824","1.94","101.88","83237","5761","20220201083036"
"202201","0010VDE02500","1","1353213","2.28","100.81","83097","5309","20220201083036"
"202201","0010VDE02600","1","733483","2.77","98.41","53312","4734","20220201083036"
"202201","0010VDE02700","1","1146634","1.93","98.56","83150","5812","20220201083036"
