AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202103,0150VDE26950,1,-1,-1.00,-1.00,12882,19616,20210430155038
202103,0010VDE31400,1,2298988,11.45,88.86,89091,31,20210430155038
202103,0500VDE16509,1,454590,2.59,102.39,87768,1453,20210430155038
202103,0251VDE02700,1,415855,2.75,97.04,89200,68,20210430155038
202103,0010VDE00500,1,879267,1.34,94.46,88982,298,20210430155038
202103,1000VDE04700,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0251VDE16240,1,722301,3.39,99.13,89222,58,20210430155038
202103,1300VDS00250,1,870740,2.06,104.87,66338,0,20210430155038
202103,1510VDE05400,1,327374,1.85,103.55,89239,41,20210430155038
202103,0552VDE01790,1,660927,3.69,99.69,74926,0,20210430155038
202103,0010VDS29620,1,202392,5.96,52.32,86760,202,20210430155038
202103,1000VDE03628,1,2090027,7.18,78.27,87513,0,20210430155038
202103,0550VDS16600,1,395803,2.53,101.40,84675,713,20210430155038
202103,0352VDS09251,1,-1,-1.00,-1.00,51856,31805,20210430155038
202103,0252VDS18540,1,668198,3.94,103.78,74194,0,20210430155038
202103,0101VDS05800,1,196126,1.75,105.73,87905,1368,20210430155038
202103,0500VDE08500,1,514250,3.19,101.05,89255,25,20210430155038
202103,0140VDS01100,1,99317,0.98,106.75,88245,1034,20210430155038
202103,0251VDE10900,1,479410,5.03,100.89,88844,436,20210430155038
202103,0550VDS19000,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0450VDS15500,1,729670,3.99,101.97,89264,16,20210430155038
202103,0010VDE13200,1,598703,3.37,100.80,89253,27,20210430155038
202103,0500VDS03400,1,2317756,0.39,91.78,88087,1009,20210430155038
202103,0450VDE16301,1,779104,4.78,90.71,89245,35,20210430155038
202103,0010VDS02200,1,1085985,1.82,101.38,88946,334,20210430155038
202103,0352VDS07800,1,689654,3.83,97.51,87775,1276,20210430155038
202103,0351VDE17900,1,739854,4.37,96.13,88315,965,20210430155038
202103,4510VDS00800,1,603713,4.54,89.90,89208,71,20210430155038
202103,0500VDS00800,1,1251880,18.04,79.49,88993,129,20210430155038
202103,0352VDS07600,1,470608,4.67,109.55,88167,908,20210430155038
202103,1510VDE03400,1,318347,1.81,107.56,89242,38,20210430155038
202103,0010VDE30400,1,2862923,16.08,76.39,89090,32,20210430155038
202103,0010VDS26000,1,1345878,6.85,91.57,89256,24,20210430155038
202103,0500VDE05600,1,1676450,5.35,93.69,89258,22,20210430155038
202103,4510VDE00700,1,584492,3.99,94.35,89209,70,20210430155038
202103,0550VDE03800,1,618003,2.66,103.38,88675,448,20210430155038
202103,0270VDE03000,1,6,7.32,124.00,79636,9320,20210430155038
202103,0352VDE01200,1,1034207,7.30,95.60,89167,113,20210430155038
202103,0010VDE27150,1,2399435,6.80,104.48,89250,25,20210430155038
202103,0251VDS00700,1,475548,2.46,94.60,88825,330,20210430155038
202103,0500VDE12500,1,313065,7.04,85.41,88595,685,20210430155038
202103,0150VDE22800,1,952803,3.22,109.89,87236,2044,20210430155038
202103,0351VDS15700,1,354033,1.66,107.68,88061,1206,20210430155038
202103,2510VDE01500,1,660831,3.43,97.43,88305,875,20210430155038
202103,2510VDE03100,1,349143,7.74,97.59,88425,613,20210430155038
202103,0650VDS03400,1,249725,1.76,104.34,88211,1004,20210430155038
202103,0010VDS30120,1,592234,7.75,74.15,89088,27,20210430155038
202103,1000VDE03659,1,2035068,5.08,95.86,87512,0,20210430155038
202103,0450VDE18200,1,770148,4.73,106.91,89262,18,20210430155038
202103,0010VDE17900,1,504068,2.04,92.99,89054,160,20210430155038
202103,0252VDS18860,1,870276,4.70,105.96,78008,0,20210430155038
202103,0100VDS11800,1,1349214,5.16,95.53,89166,114,20210430155038
202103,1710VDE00040,1,1519252,8.41,78.80,89084,0,20210430155038
202103,0270VDE02400,1,0,0.00,0.00,72135,16644,20210430155038
202103,2510VDS04100,1,853768,5.74,85.22,89252,28,20210430155038
202103,0010VDS27150,1,2454554,6.18,98.51,89248,28,20210430155038
202103,0450VDE12400,1,781787,5.03,98.98,89255,25,20210430155038
202103,0010VDS03500,1,888583,1.65,97.02,88843,437,20210430155038
202103,0450VDE01300,1,735115,5.86,91.21,89224,56,20210430155038
202103,0550VDS13600,1,260397,1.95,112.29,89262,18,20210430155038
202103,0100VDE04300,1,540472,4.40,96.39,88918,362,20210430155038
202103,1000VDE03655,1,2071595,4.95,101.12,87474,0,20210430155038
202103,0550VDS00750,1,489000,2.77,99.07,88998,282,20210430155038
202103,0450VDS03400,1,640133,3.95,100.01,89259,21,20210430155038
202103,0150VDE19600,1,465366,2.27,110.90,89030,250,20210430155038
202103,0150VDS25700,1,1620677,5.78,93.85,89091,31,20210430155038
202103,0500VDS15203,1,1035,1.99,92.55,868,1727,20210430155038
202103,0010VDS20900,1,772582,5.04,95.34,89221,59,20210430155038
202103,0251VDE17400,1,1205098,3.33,101.04,89260,20,20210430155038
202103,0150VDE27300,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0100VDS13500,1,934388,3.88,94.74,89009,270,20210430155038
202103,0252VDS18330,1,642434,3.75,99.28,73269,0,20210430155038
202103,0400VDE02300,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0010VDS22710,1,-1,-1.00,-1.00,74139,19,20210430155038
202103,0450VDE02000,1,685816,5.73,84.90,89074,206,20210430155038
202103,0351VDS04100,1,116451,1.25,108.02,88012,1240,20210430155038
202103,0552VDS01420,1,711440,4.14,92.32,77512,0,20210430155038
202103,2510VDS04000,1,790285,4.96,87.61,89259,21,20210430155038
202103,0252VDS18640,1,702128,4.01,103.89,74612,0,20210430155038
202103,0150VDS26950,1,-1,-1.00,-1.00,42821,42115,20210430155038
202103,0370VDE00900,1,741841,3.56,103.14,88882,223,20210430155038
202103,0301VDS08300,1,691900,3.41,102.02,88648,632,20210430155038
202103,4510VDE01570,1,475697,5.04,79.97,89253,27,20210430155038
202103,0500VDS08600,1,517686,3.03,104.41,89271,9,20210430155038
202103,1040VDS00900,1,1309791,4.20,95.23,89212,67,20210430155038
202103,0270VDS02200,1,394297,2.36,101.31,89209,71,20210430155038
202103,1020VDS00200,1,499417,2.77,92.60,89131,149,20210430155038
202103,0252VDE18680,1,611538,3.69,105.14,74324,0,20210430155038
202103,0252VDS18290,1,633415,3.87,97.13,72314,0,20210430155038
202103,0101VDS00600,1,162882,1.58,92.83,86059,3221,20210430155038
202103,0100VDE06470,1,8,5.63,85.00,23867,29157,20210430155038
202103,2510VDE05400,1,356848,5.90,82.23,89186,94,20210430155038
202103,0450VDS09700,1,375308,2.90,88.68,89242,38,20210430155038
202103,0100VDE11600,1,1337555,5.04,93.35,89194,86,20210430155038
202103,0252VDS18800,1,907773,5.31,100.28,77702,0,20210430155038
202103,0101VDS00120,1,161,1.19,100.00,42021,39098,20210430155038
202103,0500VDE00500,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0252VDE18450,1,693137,4.20,99.63,75361,0,20210430155038
202103,0100VDE05300,1,647338,4.94,98.58,89229,51,20210430155038
202103,0552VDS01830,1,498444,3.07,95.63,72634,0,20210430155038
202103,0500VDE13100,1,344354,2.55,84.35,89271,9,20210430155038
202103,0500VDE00300,1,1980805,17.85,74.17,89090,32,20210430155038
202103,1000VDS05600,1,-1,-1.00,-1.00,0,0,20210430155038
202103,0252VDE18260,1,627451,3.72,106.15,73399,0,20210430155038
202103,0100VDS06400,1,713462,3.74,97.92,88980,300,20210430155038
202103,0251VDE06200,1,429934,2.50,101.21,88509,770,20210430155038
202103,0450VDE18600,1,761684,4.52,105.84,88347,933,20210430155038
202103,0500VDE05250,1,-1,-1.00,-1.00,19679,29063,20210430155038
202103,0650VDE04900,1,232044,1.15,105.48,87632,1648,20210430155038
202103,0450VDE09707,1,466898,2.98,97.48,89221,52,20210430155038
202103,0010VDE24900,1,1466592,18.65,88.56,89263,17,20210430155038
