AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202106,0150VDE26950,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0010VDE31400,1,2464594,12.49,87.95,86255,25,20210701083031
202106,0500VDE16509,1,582560,3.25,103.27,85068,1332,20210701083031
202106,0251VDE02700,1,418121,2.82,97.12,86349,51,20210701083031
202106,0010VDE00500,1,864902,1.36,94.25,85602,477,20210701083031
202106,1000VDE04700,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0251VDE16240,1,744271,3.54,95.91,86352,48,20210701083031
202106,1300VDS00250,1,972578,2.24,104.76,70311,0,20210701083031
202106,1510VDE05400,1,363801,1.96,104.48,86352,48,20210701083031
202106,0552VDE01790,1,669640,3.78,100.31,73637,0,20210701083031
202106,0010VDS29620,1,187222,8.27,50.47,62045,423,20210701083031
202106,1000VDE03628,1,2098967,8.00,75.07,83514,0,20210701083031
202106,0550VDS16600,1,454720,2.78,100.88,85703,697,20210701083031
202106,0352VDS09251,1,-1,-1.00,-1.00,46776,33548,20210701083031
202106,0252VDS18540,1,718576,4.08,104.38,76343,0,20210701083031
202106,0101VDS05800,1,199357,1.77,106.56,85122,1278,20210701083031
202106,0500VDE08500,1,630486,3.80,101.58,86378,22,20210701083031
202106,0140VDS01100,1,106321,0.98,107.72,85237,1077,20210701083031
202106,0251VDE10900,1,496067,4.45,103.22,85959,441,20210701083031
202106,0550VDS19000,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0450VDS15500,1,744203,4.04,103.14,86393,7,20210701083031
202106,0010VDE13200,1,615874,3.22,102.01,86378,22,20210701083031
202106,0500VDS03400,1,684106,0.38,91.06,26717,363,20210701083031
202106,0450VDE16301,1,773712,4.71,91.69,86385,15,20210701083031
202106,0010VDS02200,1,1102280,1.88,101.73,85484,550,20210701083031
202106,0352VDS07800,1,722326,4.31,103.49,75423,9082,20210701083031
202106,0351VDE17900,1,761810,4.76,96.32,83370,1123,20210701083031
202106,4510VDS00800,1,262114,4.22,94.45,81254,5146,20210701083031
202106,0500VDS00800,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0352VDS07600,1,700589,4.85,115.97,84640,1760,20210701083031
202106,1510VDE03400,1,352744,1.97,107.45,86369,31,20210701083031
202106,0010VDE30400,1,2985882,17.56,76.49,86359,41,20210701083031
202106,0010VDS26000,1,1392510,8.63,81.64,86367,33,20210701083031
202106,0500VDE05600,1,1906889,5.97,98.44,84538,1832,20210701083031
202106,4510VDE00700,1,590071,4.16,94.26,81366,5034,20210701083031
202106,0550VDE03800,1,674944,2.86,104.03,86053,347,20210701083031
202106,0270VDE03000,1,0,0.00,0.00,75693,10698,20210701083031
202106,0352VDE01200,1,1066426,7.47,96.17,86360,40,20210701083031
202106,0010VDE27150,1,2547101,5.57,97.27,86380,20,20210701083031
202106,0251VDS00700,1,527202,2.42,95.50,85540,857,20210701083031
202106,0500VDE12500,1,519289,6.62,87.44,86144,256,20210701083031
202106,0150VDE22800,1,1006330,3.47,110.00,85017,1383,20210701083031
202106,0351VDS15700,1,399548,1.79,109.47,85493,907,20210701083031
202106,2510VDE01500,1,682777,3.84,96.65,85171,1229,20210701083031
202106,2510VDE03100,1,390844,9.48,91.91,85466,909,20210701083031
202106,0650VDS03400,1,310316,2.06,106.24,85528,872,20210701083031
202106,0010VDS30120,1,594374,8.65,72.93,86388,12,20210701083031
202106,1000VDE03659,1,2029092,5.46,95.77,83513,0,20210701083031
202106,0450VDE18200,1,766763,5.51,105.17,86381,19,20210701083031
202106,0010VDE17900,1,511068,2.01,93.99,86037,361,20210701083031
202106,0252VDS18860,1,932061,4.88,105.45,80553,0,20210701083031
202106,0100VDS11800,1,1354128,5.24,96.11,81152,5248,20210701083031
202106,1710VDE00040,1,1526796,8.90,78.07,86351,0,20210701083031
202106,0270VDE02400,1,-1,-1.00,-1.00,69386,16984,20210701083031
202106,2510VDS04100,1,877368,5.92,85.24,86365,35,20210701083031
202106,0010VDS27150,1,2519524,6.21,95.84,86380,20,20210701083031
202106,0450VDE12400,1,788965,5.19,98.75,86386,14,20210701083031
202106,0010VDS03500,1,896326,1.72,96.46,85506,573,20210701083031
202106,0450VDE01300,1,740241,5.80,92.09,83257,3143,20210701083031
202106,0550VDS13600,1,281948,2.05,111.09,86381,19,20210701083031
202106,0100VDE04300,1,522909,4.42,97.23,80919,5481,20210701083031
202106,1000VDE03655,1,2094877,5.26,101.19,83484,0,20210701083031
202106,0550VDS00750,1,506106,2.88,99.71,85981,380,20210701083031
202106,0450VDS03400,1,644458,4.15,100.51,82413,3987,20210701083031
202106,0150VDE19600,1,491708,2.40,108.98,86255,145,20210701083031
202106,0150VDS25700,1,1661891,6.93,92.28,86383,17,20210701083031
202106,0500VDS15203,1,553969,3.75,90.95,86385,15,20210701083031
202106,0010VDS20900,1,945516,5.46,95.18,86307,93,20210701083031
202106,0251VDE17400,1,1213498,3.45,98.01,86380,20,20210701083031
202106,0150VDE27300,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0100VDS13500,1,924616,3.79,94.08,81092,5308,20210701083031
202106,0252VDS18330,1,683498,3.88,99.50,75078,0,20210701083031
202106,0400VDE02300,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0010VDS22710,1,-1,-1.00,-1.00,72940,20,20210701083031
202106,0450VDE02000,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0351VDS04100,1,25624,1.28,108.31,15277,2348,20210701083031
202106,0552VDS01420,1,709536,4.35,92.21,75862,0,20210701083031
202106,0170VDS00023,1,1086826,7.87,94.20,85613,0,20210701083031
202106,2510VDS04000,1,797764,4.98,88.04,86384,16,20210701083031
202106,0252VDS18640,1,746144,4.33,104.03,75869,0,20210701083031
202106,0150VDS26950,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0370VDE00900,1,741396,3.79,102.18,85423,886,20210701083031
202106,0301VDS08300,1,720585,3.61,102.54,85797,578,20210701083031
202106,4510VDE01570,1,651407,5.07,79.27,86371,29,20210701083031
202106,0500VDS08600,1,631376,3.43,104.82,86396,4,20210701083031
202106,1040VDS00900,1,1356508,4.55,95.15,81220,5180,20210701083031
202106,0270VDS02200,1,354440,2.22,101.78,86338,62,20210701083031
202106,1020VDS00200,1,528407,2.97,92.45,81174,5226,20210701083031
202106,0252VDE18680,1,637120,3.79,104.84,76666,0,20210701083031
202106,0252VDS18290,1,653722,4.08,97.95,71225,0,20210701083031
202106,0101VDS00600,1,165876,1.59,93.27,83385,3015,20210701083031
202106,0100VDE06470,1,-1,-1.00,-1.00,19661,28482,20210701083031
202106,2510VDE05400,1,0,0.00,0.00,86368,23,20210701083031
202106,0450VDS09700,1,363897,2.94,89.66,86293,107,20210701083031
202106,0100VDE11600,1,1349652,5.14,92.76,81169,5231,20210701083031
202106,0252VDS18800,1,481095,6.65,87.77,41226,0,20210701083031
202106,0101VDS00120,1,-1,-1.00,-1.00,1800,10,20210701083031
202106,0500VDE00500,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0252VDE18450,1,727531,4.25,100.17,77657,0,20210701083031
202106,0100VDE05300,1,635815,4.93,98.46,81194,5189,20210701083031
202106,0552VDS01830,1,514207,3.23,95.49,71916,0,20210701083031
202106,0500VDE13100,1,473877,3.18,85.07,86396,4,20210701083031
202106,0500VDE00300,1,2110719,18.00,73.99,86385,15,20210701083031
202106,1000VDS05600,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0252VDE18260,1,661133,3.69,107.00,76320,0,20210701083031
202106,0100VDS06400,1,697113,3.75,98.46,80847,5523,20210701083031
202106,0251VDE06200,1,421313,2.46,101.16,85743,657,20210701083031
202106,0450VDE18600,1,760481,4.51,107.69,85449,951,20210701083031
202106,0500VDE05250,1,-1,-1.00,-1.00,47844,16392,20210701083031
202106,0650VDE04900,1,322815,0.90,112.05,85430,970,20210701083031
202106,0450VDE09707,1,466475,2.99,95.60,86303,46,20210701083031
202106,0010VDE24900,1,1166880,10.71,100.25,86354,46,20210701083031
202106,0450VDE08600,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0150VDS11000,1,431212,1.68,102.80,86380,20,20210701083031
202106,1510VDE02000,1,278675,1.77,105.93,83836,2564,20210701083031
202106,0251VDE11400,1,546409,3.22,108.14,86374,26,20210701083031
202106,0252VDS18220,1,654186,3.78,104.70,74632,0,20210701083031
202106,0200VDS01900,1,478422,2.81,107.63,85526,874,20210701083031
202106,0200VDS03300,1,502748,1.73,108.48,86379,21,20210701083031
202106,0100VDE07200,1,897439,3.49,99.35,80872,5456,20210701083031
202106,0550VDE11400,1,211005,1.87,102.90,86296,104,20210701083031
202106,0270VDE06300,1,-1,-1.00,-1.00,59975,25759,20210701083031
202106,0150VDE10700,1,405326,3.20,111.30,86379,21,20210701083031
202106,0010VDS15500,1,495045,2.09,105.57,85399,964,20210701083031
202106,0010VDE14700,1,-1,-1.00,-1.00,0,0,20210701083031
202106,1200VDE00600,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0352VDE09900,1,2056778,6.46,94.74,86390,10,20210701083031
202106,1000VDE03631,1,2095514,5.95,82.59,83529,0,20210701083031
202106,0010VDS30300,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0450VDS21600,1,957993,7.50,96.73,86391,9,20210701083031
202106,0450VDS17600,1,734187,4.88,96.05,86388,12,20210701083031
202106,0010VDE22300,1,1273341,6.58,88.99,86385,15,20210701083031
202106,0200VDS00800,1,569761,2.23,102.09,86173,227,20210701083031
202106,0100VDS06470,1,57,2.50,85.00,49186,37040,20210701083031
202106,0552VDS01530,1,-1,-1.00,-1.00,0,0,20210701083031
202106,1710VDE00120,1,1848469,7.61,88.41,86279,0,20210701083031
202106,0500VDE00100,1,1430748,13.75,71.85,86381,19,20210701083031
202106,0010VDS26500,1,1401295,11.45,92.10,86367,33,20210701083031
202106,0010VDS24200,1,847456,7.40,79.01,83645,121,20210701083031
202106,0101VDS06850,1,57,3.75,109.00,45720,38334,20210701083031
202106,0301VDS02500,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0370VDE01800,1,1016064,5.86,97.03,85208,1059,20210701083031
202106,0101VDS03231,1,159,4.90,119.05,60859,25499,20210701083031
202106,4510VDS00900,1,610505,4.52,96.00,81026,5374,20210701083031
202106,0252VDE18220,1,660783,3.66,108.17,76400,0,20210701083031
202106,0010VDE21100,1,34,14.33,93.53,86380,20,20210701083031
202106,0010VDE15500,1,488905,3.21,92.20,85131,1176,20210701083031
202106,0251VDE16121,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0252VDS18430,1,712302,3.87,108.82,76163,0,20210701083031
202106,0370VDE00600,1,739570,4.02,92.36,86337,63,20210701083031
202106,0352VDS03200,1,1055615,8.49,89.15,86368,32,20210701083031
202106,0150VDS29000,1,1386897,3.91,97.99,84801,99,20210701083031
202106,0450VDS01700,1,717361,5.73,93.13,80927,5151,20210701083031
202106,0550VDS04000,1,565331,2.70,106.64,85808,592,20210701083031
202106,0150VDS26800,1,1462471,8.91,106.48,86385,15,20210701083031
202106,0252VDE18870,1,1166191,8.61,86.04,83002,0,20210701083031
202106,0140VDS02600,1,201659,1.74,104.26,84921,907,20210701083031
202106,0100VDE09700,1,1233620,4.05,106.39,80445,5732,20210701083031
202106,0010VDS21310,1,457798,7.73,63.65,86383,17,20210701083031
202106,0500VDE04152,1,-1,-1.00,-1.00,29566,37355,20210701083031
202106,0550VDS02300,1,719188,5.04,93.58,84014,723,20210701083031
202106,0550VDS10600,1,292995,1.94,106.60,86087,313,20210701083031
202106,0352VDS03000,1,944524,6.92,98.57,86389,11,20210701083031
202106,1000VDS03656,1,2075735,5.66,97.40,83492,0,20210701083031
202106,0150VDE27600,1,-1,-1.00,-1.00,0,0,20210701083031
202106,0352VDS08251,1,-1,-1.00,-1.00,36775,45326,20210701083031
