기간,구분,합계,합계,합계,합계,합계,합계,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종,2종
기간,구분,합계,합계,합계,합계,합계,합계,계,계,계,계,계,계,대형,대형,대형,대형,대형,대형,보통,보통,보통,보통,보통,보통,특수,특수,특수,특수,특수,특수,계,계,계,계,계,계,보통,보통,보통,보통,보통,보통,소형,소형,소형,소형,소형,소형,원동기,원동기,원동기,원동기,원동기,원동기
기간,구분,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격,응시,응시,응시,합격,합격,합격
기간,구분,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,남자,여자
2011,서울시,"186,841","155,496","31,345","83,471","68,914","14,557","77,131","74,614","2,517","29,871","29,055",816,"19,513","19,377",136,"2,434","2,416",18,"52,907","50,534","2,373","26,389","25,592",797,"4,711","4,703",8,"1,048","1,047",1,"109,710","80,882","28,828","53,600","39,859","13,741","69,994","42,368","27,626","39,255","25,775","13,480","16,068","15,948",120,"3,461","3,447",14,"23,648","22,566","1,082","10,884","10,637",247
2012,서울시,"190,757","155,201","35,556","78,399","63,360","15,039","82,927","79,361","3,566","32,723","31,679","1,044","18,396","18,218",178,"2,353","2,346",7,"59,139","55,771","3,368","29,072","28,037","1,035","5,392","5,372",20,"1,298","1,296",2,"107,830","75,840","31,990","45,676","31,681","13,995","73,230","41,444","31,786","38,280","24,319","13,961","17,300","17,198",102,"3,698","3,681",17,"17,300","17,198",102,"3,698","3,681",17
2013,서울시,"173,285","148,294","24,991","71,835","61,561","10,274","77,180","74,685","2,495","27,557","26,882",675,"21,291","21,090",201,"2,448","2,430",18,"49,315","47,050","2,265","23,653","22,997",656,"6,574","6,545",29,"1,456","1,455",1,"96,105","73,609","22,496","44,278","34,679","9,599","61,098","39,584","21,514","32,142","22,783","9,359","19,032","18,895",137,"4,433","4,411",22,"15,975","15,130",845,"7,703","7,485",218
2014,서울시,"182,316","155,106","27,210","74,962","64,001","10,961","76,078","73,555","2,523","26,973","26,359",614,"21,710","21,558",152,"2,531","2,521",10,"47,902","45,540","2,362","22,992","22,389",603,"6,466","6,457",9,"1,450","1,449",1,"106,238","81,551","24,687","47,989","37,642","10,347","70,626","47,287","23,339","36,123","26,238","9,885","19,794","19,571",223,"4,486","4,459",27,"15,818","14,693","1,125","7,380","6,945",435
2015,서울시,"189,869","143,475","46,394","129,326","89,551","39,775","66,659","63,647","3,012","37,955","35,853","2,102","21,160","21,030",130,"2,702","2,696",6,"40,150","37,282","2,868","34,142","32,050","2,092","5,349","5,335",14,"1,111","1,107",4,"123,210","79,828","43,382","91,371","53,698","37,673","88,592","46,830","41,762","79,715","42,646","37,069","19,600","19,375",225,"4,359","4,332",27,"15,018","13,623","1,395","7,297","6,720",577
2016,서울시,"202,083","157,472","44,611","82,778","64,948","17,830","71,764","68,597","3,167","25,196","24,486",710,"19,181","19,013",168,"2,581","2,570",11,"45,251","42,308","2,943","20,291","19,607",684,"7,332","7,276",56,"2,324","2,309",15,"130,319","88,875","41,444","57,582","40,462","17,120","96,104","56,406","39,698","46,447","30,169","16,278","19,401","19,145",256,"4,015","3,987",28,"14,814","13,324","1,490","7,120","6,306",814
2017,서울시,"145,862","121,447","24,415","60,355","50,207","10,148","53,714","51,733","1,981","18,722","18,295",427,"16,921","16,777",144,"2,244","2,232",12,"28,235","26,454","1,781","13,410","13,017",393,"8,558","8,502",56,"3,068","3,046",22,"92,148","69,714","22,434","41,633","31,912","9,721","57,953","36,857","21,096","30,933","21,707","9,226","19,898","19,633",265,"4,116","4,085",31,"14,297","13,224","1,073","6,584","6,120",464
2018,서울시,"140,274","121,877","18,397","56,800","49,564","7,236","52,458","50,882","1,576","17,763","17,436",327,"18,029","17,837",192,"2,020","2,011",9,"27,630","26,304","1,326","13,407","13,111",296,"6,799","6,741",58,"2,336","2,314",22,"87,816","70,995","16,821","39,037","32,128","6,909","57,251","41,525","15,726","30,018","23,487","6,531","20,005","19,725",280,"4,052","4,009",43,"10,560","9,745",815,"4,967","4,632",335
2019,서울시,"151,646","130,272","21,374","57,156","49,155","8,001","52,999","51,390","1,609","15,853","15,548",305,"19,803","19,584",219,"1,945","1,939",6,"27,630","26,329","1,301","11,883","11,614",269,"5,566","5,477",89,"2,025","1,995",30,"98,647","78,882","19,765","41,303","33,607","7,696","63,804","45,272","18,532","31,363","23,983","7,380","23,364","23,008",356,"4,610","4,584",26,"11,479","10,602",877,"5,330","5,040",290
2020,서울시,"154,583","131,680","22,903","52,131","43,707","8,424","45,925","44,208","1,717","12,700","12,408",292,"17,579","17,249",330,"1,790","1,780",10,"22,295","20,985","1,310","9,061","8,794",267,"6,051","5,974",77,"1,849","1,834",15,"108,658","87,472","21,186","39,431","31,299","8,132","62,735","44,004","18,731","29,767","21,968","7,799","28,410","27,822",588,"5,710","5,643",67,"17,513","15,646","1,867","3,954","3,688",266
